pickup_location,destination,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,distance_km,duration_minutes,traffic_level,weather_condition,transport_type,pickup_hour,is_weekend,fare_ngn
Ojota,Victoria Island,6.582,3.388,6.4281,3.4219,24.85,76.0,heavy,cloudy,brt,6,0,2155.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,35.74,240.4,gridlock,sunny,uber,13,0,21825.0
Murtala Muhammed Airport,Ikoyi,6.5774,3.3212,6.4541,3.435,21.82,86.4,heavy,cloudy,bolt,15,0,9310.0
Ikoyi,Surulere,6.4541,3.435,6.4969,3.355,14.04,34.0,moderate,thunderstorm,bolt,9,0,5089.0
Ikeja,Ikoyi,6.6018,3.3515,6.4541,3.435,25.03,64.2,moderate,cloudy,brt,3,0,1487.0
Oshodi,CMS (Marina),6.5489,3.3286,6.4549,3.3886,16.42,58.0,heavy,sunny,brt,21,0,1366.0
Berger,Murtala Muhammed Airport,6.642,3.343,6.5774,3.3212,9.85,67.3,gridlock,sunny,keke,15,0,4042.0
Oshodi,Surulere,6.5489,3.3286,6.4969,3.355,8.27,28.7,heavy,sunny,taxi,18,0,3417.0
Murtala Muhammed Airport,Lekki,6.5774,3.3212,6.4474,3.5562,40.32,74.7,low,cloudy,taxi,16,0,8760.0
Surulere,Ajah,6.4969,3.355,6.4683,3.6015,37.25,132.2,heavy,rainy,bolt,18,1,17178.0
Oshodi,Surulere,6.5489,3.3286,6.4969,3.355,8.62,17.6,low,sunny,bolt,9,0,2121.0
Ojota,Oshodi,6.582,3.388,6.5489,3.3286,10.32,27.0,moderate,rainy,uber,18,0,4604.0
Yaba,Ikeja,6.5158,3.3892,6.6018,3.3515,14.56,44.2,heavy,sunny,bolt,15,0,6211.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,6.51,21.6,heavy,cloudy,bolt,4,0,3107.0
Surulere,Murtala Muhammed Airport,6.4969,3.355,6.5774,3.3212,13.76,37.0,moderate,cloudy,keke,17,0,2681.0
Oshodi,Berger,6.5489,3.3286,6.642,3.343,13.01,30.7,moderate,sunny,brt,16,0,1006.0
Yaba,Oshodi,6.5158,3.3892,6.5489,3.3286,9.03,30.1,heavy,rainy,keke,21,0,2110.0
Ikeja,Surulere,6.6018,3.3515,6.4969,3.355,14.18,35.2,moderate,thunderstorm,brt,12,0,1149.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,39.76,261.2,gridlock,sunny,danfo,14,1,6834.0
Ojota,Maryland,6.582,3.388,6.5783,3.3676,3.24,5.7,low,rainy,danfo,20,0,403.0
Lekki,Murtala Muhammed Airport,6.4474,3.5562,6.5774,3.3212,35.01,59.2,low,rainy,brt,6,1,2254.0
Berger,CMS (Marina),6.642,3.343,6.4549,3.3886,24.81,67.1,moderate,rainy,danfo,0,0,2491.0
Oshodi,Ikeja,6.5489,3.3286,6.6018,3.3515,7.59,21.7,moderate,cloudy,danfo,10,0,870.0
Lekki,Ikeja,6.4474,3.5562,6.6018,3.3515,35.28,67.3,low,cloudy,uber,19,1,7829.0
Berger,Yaba,6.642,3.343,6.5158,3.3892,18.52,120.8,gridlock,cloudy,uber,12,0,10532.0
CMS (Marina),Ikeja,6.4549,3.3886,6.6018,3.3515,19.5,45.9,moderate,sunny,bolt,16,0,6298.0
Yaba,Surulere,6.5158,3.3892,6.4969,3.355,5.59,15.9,moderate,cloudy,danfo,10,0,669.0
Surulere,CMS (Marina),6.4969,3.355,6.4549,3.3886,7.82,17.3,moderate,sunny,taxi,18,1,2580.0
Ojota,Surulere,6.582,3.388,6.4969,3.355,14.05,27.9,low,cloudy,uber,8,0,3969.0
Oshodi,Surulere,6.5489,3.3286,6.4969,3.355,7.97,14.4,low,sunny,bolt,14,0,2063.0
Ikeja,Oshodi,6.6018,3.3515,6.5489,3.3286,8.38,45.8,gridlock,sunny,keke,11,0,2423.0
Surulere,Oshodi,6.4969,3.355,6.5489,3.3286,8.54,54.6,gridlock,thunderstorm,keke,9,1,3555.0
Murtala Muhammed Airport,Ojota,6.5774,3.3212,6.582,3.388,10.42,68.1,gridlock,rainy,bolt,21,1,8236.0
Victoria Island,Berger,6.4281,3.4219,6.642,3.343,35.71,92.7,moderate,rainy,bolt,22,1,12091.0
Ikeja,Victoria Island,6.6018,3.3515,6.4281,3.4219,26.47,67.7,moderate,sunny,taxi,6,1,8197.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,6.57,38.7,gridlock,sunny,brt,8,1,1058.0
Ikoyi,Maryland,6.4541,3.435,6.5783,3.3676,22.58,58.2,moderate,cloudy,keke,11,0,3409.0
Berger,Murtala Muhammed Airport,6.642,3.343,6.5774,3.3212,10.69,25.1,moderate,sunny,keke,11,0,1771.0
Surulere,Maryland,6.4969,3.355,6.5783,3.3676,11.25,67.6,gridlock,sunny,danfo,12,1,2199.0
Murtala Muhammed Airport,Berger,6.5774,3.3212,6.642,3.343,9.48,28.6,heavy,sunny,brt,4,0,764.0
Oshodi,Berger,6.5489,3.3286,6.642,3.343,12.61,42.5,heavy,thunderstorm,uber,19,1,6291.0
Lekki,Ajah,6.4474,3.5562,6.4683,3.6015,7.6,25.9,heavy,rainy,taxi,15,0,3702.0
Yaba,Oshodi,6.5158,3.3892,6.5489,3.3286,10.5,64.9,gridlock,rainy,uber,11,0,6907.0
Ajah,Victoria Island,6.4683,3.6015,6.4281,3.4219,24.15,96.1,heavy,sunny,taxi,15,0,9993.0
Victoria Island,Ikoyi,6.4281,3.4219,6.4541,3.435,4.44,17.7,heavy,sunny,keke,3,0,1090.0
Berger,Lekki,6.642,3.343,6.4474,3.5562,42.28,92.9,moderate,cloudy,danfo,9,0,3452.0
Oshodi,Ikeja,6.5489,3.3286,6.6018,3.3515,7.41,26.3,heavy,sunny,taxi,9,0,2843.0
Surulere,Murtala Muhammed Airport,6.4969,3.355,6.5774,3.3212,13.36,75.7,gridlock,rainy,danfo,19,0,2540.0
Ikoyi,Victoria Island,6.4541,3.435,6.4281,3.4219,3.77,8.3,moderate,sunny,bolt,6,0,1804.0
Lekki,Surulere,6.4474,3.5562,6.4969,3.355,30.66,74.6,moderate,rainy,uber,16,0,10995.0
Berger,Yaba,6.642,3.343,6.5158,3.3892,18.05,45.2,moderate,sunny,uber,18,0,5932.0
Ikeja,Victoria Island,6.6018,3.3515,6.4281,3.4219,25.83,59.0,moderate,rainy,uber,10,0,8092.0
Victoria Island,Maryland,6.4281,3.4219,6.5783,3.3676,22.08,56.5,moderate,rainy,taxi,19,0,5784.0
Victoria Island,Ajah,6.4281,3.4219,6.4683,3.6015,27.14,64.2,moderate,sunny,danfo,12,0,2314.0
Surulere,Victoria Island,6.4969,3.355,6.4281,3.4219,14.63,58.0,heavy,rainy,uber,17,0,7862.0
Victoria Island,Lekki,6.4281,3.4219,6.4474,3.5562,17.36,30.5,low,rainy,bolt,9,0,4139.0
Lekki,Ikeja,6.4474,3.5562,6.6018,3.3515,33.3,106.8,heavy,cloudy,keke,14,1,6675.0
Murtala Muhammed Airport,Ojota,6.5774,3.3212,6.582,3.388,10.39,18.2,low,sunny,danfo,15,1,1014.0
Lekki,Ajah,6.4474,3.5562,6.4683,3.6015,6.75,21.9,heavy,sunny,uber,21,0,3256.0
Ikoyi,CMS (Marina),6.4541,3.435,6.4549,3.3886,7.41,27.9,heavy,rainy,danfo,18,0,1287.0
Ojota,Oshodi,6.582,3.388,6.5489,3.3286,8.83,31.7,heavy,rainy,taxi,16,0,4095.0
Ojota,Oshodi,6.582,3.388,6.5489,3.3286,10.38,28.6,moderate,rainy,brt,23,0,811.0
Ajah,Maryland,6.4683,3.6015,6.5783,3.3676,34.72,119.0,heavy,sunny,keke,8,0,7756.0
Ikeja,Maryland,6.6018,3.3515,6.5783,3.3676,4.24,9.2,moderate,cloudy,danfo,15,0,614.0
Berger,Ikoyi,6.642,3.343,6.4541,3.435,30.54,103.0,heavy,sunny,bolt,5,0,10326.0
Murtala Muhammed Airport,Maryland,6.5774,3.3212,6.5783,3.3676,6.88,16.0,moderate,sunny,taxi,7,1,2606.0
Victoria Island,Ikoyi,6.4281,3.4219,6.4541,3.435,4.6,12.2,moderate,rainy,taxi,14,1,1780.0
Lekki,Murtala Muhammed Airport,6.4474,3.5562,6.5774,3.3212,37.33,126.0,heavy,cloudy,bolt,8,0,14571.0
Maryland,Ojota,6.5783,3.3676,6.582,3.388,3.21,7.7,moderate,rainy,uber,7,0,2068.0
Murtala Muhammed Airport,Surulere,6.5774,3.3212,6.4969,3.355,12.11,34.0,moderate,sunny,uber,19,0,3935.0
Victoria Island,Berger,6.4281,3.4219,6.642,3.343,30.85,208.1,gridlock,cloudy,uber,15,0,23072.0
Victoria Island,CMS (Marina),6.4281,3.4219,6.4549,3.3886,5.87,10.2,low,sunny,bolt,12,0,1643.0
Ajah,Surulere,6.4683,3.6015,6.4969,3.355,33.73,103.8,heavy,cloudy,keke,7,0,7511.0
Berger,Yaba,6.642,3.343,6.5158,3.3892,20.28,56.6,moderate,sunny,keke,17,1,3940.0
Oshodi,Berger,6.5489,3.3286,6.642,3.343,14.54,93.0,gridlock,thunderstorm,taxi,9,0,9680.0
Ikeja,Ikoyi,6.6018,3.3515,6.4541,3.435,24.27,49.2,low,cloudy,brt,4,0,1279.0
Ojota,Ikeja,6.582,3.388,6.6018,3.3515,6.04,24.1,heavy,rainy,danfo,22,0,1036.0
Surulere,Lekki,6.4969,3.355,6.4474,3.5562,27.21,191.7,gridlock,sunny,brt,4,1,3413.0
Surulere,Murtala Muhammed Airport,6.4969,3.355,6.5774,3.3212,13.6,86.0,gridlock,sunny,danfo,6,0,3144.0
Lekki,Oshodi,6.4474,3.5562,6.5489,3.3286,35.02,65.6,low,sunny,bolt,9,0,6842.0
Surulere,Murtala Muhammed Airport,6.4969,3.355,6.5774,3.3212,13.51,21.4,low,sunny,uber,15,0,3850.0
Ajah,Ojota,6.4683,3.6015,6.582,3.388,35.18,119.9,heavy,sunny,danfo,18,0,4897.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,6.54,23.5,heavy,sunny,brt,6,0,743.0
Ajah,Yaba,6.4683,3.6015,6.5158,3.3892,28.05,109.9,heavy,thunderstorm,uber,17,0,16635.0
Oshodi,Ikoyi,6.5489,3.3286,6.4541,3.435,22.81,69.8,heavy,sunny,keke,16,0,5139.0
Yaba,Berger,6.5158,3.3892,6.642,3.343,18.29,32.1,low,cloudy,danfo,12,0,1295.0
CMS (Marina),Victoria Island,6.4549,3.3886,6.4281,3.4219,5.95,14.5,moderate,cloudy,danfo,14,1,707.0
Berger,Lekki,6.642,3.343,6.4474,3.5562,41.55,71.5,low,sunny,danfo,7,0,3468.0
Berger,Ajah,6.642,3.343,6.4683,3.6015,44.74,119.3,moderate,cloudy,bolt,6,0,14226.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,31.82,101.5,heavy,sunny,keke,11,0,5737.0
Lekki,Ajah,6.4474,3.5562,6.4683,3.6015,6.65,26.6,heavy,sunny,danfo,19,1,1056.0
Berger,Maryland,6.642,3.343,6.5783,3.3676,9.63,15.7,low,cloudy,keke,21,1,1298.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,7.81,20.8,moderate,rainy,uber,14,0,3008.0
Lekki,Ikeja,6.4474,3.5562,6.6018,3.3515,38.06,92.9,moderate,sunny,danfo,15,0,4118.0
Ajah,Berger,6.4683,3.6015,6.642,3.343,48.34,172.0,heavy,sunny,keke,13,0,9553.0
Ajah,Ikoyi,6.4683,3.6015,6.4541,3.435,25.1,80.5,heavy,sunny,brt,14,0,1802.0
Yaba,Ojota,6.5158,3.3892,6.582,3.388,8.52,59.3,gridlock,rainy,taxi,13,0,5696.0
Lekki,Berger,6.4474,3.5562,6.642,3.343,44.01,141.5,heavy,cloudy,taxi,0,0,15400.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,33.7,133.2,heavy,cloudy,uber,13,1,13784.0
Ikeja,Lekki,6.6018,3.3515,6.4474,3.5562,36.57,118.2,heavy,thunderstorm,brt,11,0,3315.0
Ikeja,Oshodi,6.6018,3.3515,6.5489,3.3286,8.15,27.1,heavy,rainy,bolt,7,0,4452.0
CMS (Marina),Maryland,6.4549,3.3886,6.5783,3.3676,17.07,61.9,heavy,sunny,brt,16,1,1701.0
Oshodi,Berger,6.5489,3.3286,6.642,3.343,12.51,33.0,moderate,cloudy,bolt,15,0,4308.0
Maryland,Murtala Muhammed Airport,6.5783,3.3676,6.5774,3.3212,7.06,17.2,moderate,sunny,taxi,1,0,2363.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,37.33,93.9,moderate,sunny,keke,0,0,5572.0
Surulere,Victoria Island,6.4969,3.355,6.4281,3.4219,15.34,39.5,moderate,sunny,danfo,8,1,1844.0
Ikeja,Victoria Island,6.6018,3.3515,6.4281,3.4219,25.96,93.4,heavy,rainy,uber,6,0,12702.0
Maryland,Oshodi,6.5783,3.3676,6.5489,3.3286,6.96,13.3,low,cloudy,uber,8,1,2653.0
Yaba,Ikoyi,6.5158,3.3892,6.4541,3.435,10.94,41.5,heavy,cloudy,taxi,14,0,3841.0
Ojota,Ikoyi,6.582,3.388,6.4541,3.435,19.03,35.6,low,sunny,uber,8,0,5122.0
Ojota,Ikoyi,6.582,3.388,6.4541,3.435,18.49,33.9,low,rainy,danfo,7,0,1762.0
Ikeja,Ikoyi,6.6018,3.3515,6.4541,3.435,26.09,48.0,low,rainy,taxi,14,0,5338.0
Yaba,Maryland,6.5158,3.3892,6.5783,3.3676,9.07,34.2,heavy,sunny,brt,14,0,811.0
Ojota,Berger,6.582,3.388,6.642,3.343,10.87,30.9,moderate,cloudy,uber,17,0,4010.0
Surulere,CMS (Marina),6.4969,3.355,6.4549,3.3886,8.49,14.6,low,rainy,brt,7,0,666.0
Maryland,Ikoyi,6.5783,3.3676,6.4541,3.435,19.93,47.7,moderate,thunderstorm,danfo,7,1,2840.0
Ikoyi,Murtala Muhammed Airport,6.4541,3.435,6.5774,3.3212,24.82,67.0,moderate,sunny,keke,23,1,3722.0
Murtala Muhammed Airport,Berger,6.5774,3.3212,6.642,3.343,9.47,25.9,moderate,cloudy,bolt,14,0,3116.0
Oshodi,Maryland,6.5489,3.3286,6.5783,3.3676,7.55,21.3,moderate,rainy,uber,6,0,3338.0
Ikeja,Ajah,6.6018,3.3515,6.4683,3.6015,45.18,173.4,heavy,rainy,danfo,7,0,7147.0
Victoria Island,Ajah,6.4281,3.4219,6.4683,3.6015,28.73,50.0,low,rainy,brt,10,1,1597.0
Berger,Maryland,6.642,3.343,6.5783,3.3676,9.33,24.3,moderate,sunny,danfo,18,0,1075.0
CMS (Marina),Ojota,6.4549,3.3886,6.582,3.388,19.21,66.9,heavy,sunny,taxi,9,0,6283.0
Lekki,Ikeja,6.4474,3.5562,6.6018,3.3515,39.41,144.7,heavy,sunny,brt,10,0,2894.0
CMS (Marina),Berger,6.4549,3.3886,6.642,3.343,29.5,105.3,heavy,sunny,brt,7,0,2686.0
Ajah,Ojota,6.4683,3.6015,6.582,3.388,37.98,72.8,low,sunny,keke,7,1,5776.0
Surulere,Ikoyi,6.4969,3.355,6.4541,3.435,13.16,32.3,moderate,sunny,danfo,13,0,1298.0
Lekki,Ojota,6.4474,3.5562,6.582,3.388,33.58,89.3,moderate,thunderstorm,taxi,8,0,11630.0
Victoria Island,CMS (Marina),6.4281,3.4219,6.4549,3.3886,5.62,22.2,heavy,sunny,taxi,14,0,2288.0
Lekki,Ojota,6.4474,3.5562,6.582,3.388,34.32,125.6,heavy,rainy,bolt,15,0,15498.0
Ajah,Victoria Island,6.4683,3.6015,6.4281,3.4219,29.26,70.4,moderate,sunny,uber,14,1,7967.0
Ikoyi,Maryland,6.4541,3.435,6.5783,3.3676,19.59,51.7,moderate,sunny,danfo,6,0,2291.0
Ajah,Maryland,6.4683,3.6015,6.5783,3.3676,33.03,126.7,heavy,rainy,danfo,12,0,4314.0
Maryland,Ikeja,6.5783,3.3676,6.6018,3.3515,4.25,8.6,low,rainy,keke,17,0,868.0
Surulere,Ikoyi,6.4969,3.355,6.4541,3.435,12.05,47.7,heavy,cloudy,bolt,8,0,5850.0
Lekki,Ikoyi,6.4474,3.5562,6.4541,3.435,18.67,69.6,heavy,sunny,keke,12,0,3900.0
Oshodi,Surulere,6.5489,3.3286,6.4969,3.355,9.34,24.0,moderate,rainy,taxi,23,0,3339.0
Lekki,Ajah,6.4474,3.5562,6.4683,3.6015,7.53,12.4,low,cloudy,keke,18,1,1281.0
Ojota,Berger,6.582,3.388,6.642,3.343,9.65,29.3,heavy,sunny,taxi,9,1,3336.0
Murtala Muhammed Airport,Victoria Island,6.5774,3.3212,6.4281,3.4219,26.24,62.6,moderate,thunderstorm,danfo,15,0,3264.0
CMS (Marina),Ajah,6.4549,3.3886,6.4683,3.6015,31.19,122.4,heavy,rainy,bolt,10,0,12170.0
Surulere,Ikoyi,6.4969,3.355,6.4541,3.435,13.01,31.4,moderate,cloudy,bolt,13,0,3562.0
Yaba,CMS (Marina),6.5158,3.3892,6.4549,3.3886,8.87,20.5,moderate,sunny,bolt,17,0,3308.0
Ikeja,Lekki,6.6018,3.3515,6.4474,3.5562,34.27,78.1,moderate,rainy,brt,14,0,2182.0
Berger,Surulere,6.642,3.343,6.4969,3.355,20.14,69.3,heavy,cloudy,danfo,18,1,3022.0
Murtala Muhammed Airport,Surulere,6.5774,3.3212,6.4969,3.355,13.2,23.5,low,sunny,danfo,15,0,1205.0
Ajah,Maryland,6.4683,3.6015,6.5783,3.3676,39.86,158.4,heavy,cloudy,keke,9,0,8467.0
Victoria Island,Ojota,6.4281,3.4219,6.582,3.388,25.12,97.6,heavy,sunny,danfo,19,1,3323.0
Ikeja,CMS (Marina),6.6018,3.3515,6.4549,3.3886,23.46,45.9,low,sunny,danfo,3,1,1761.0
Yaba,Ikoyi,6.5158,3.3892,6.4541,3.435,10.01,25.6,moderate,rainy,taxi,17,0,3818.0
Lekki,Ikoyi,6.4474,3.5562,6.4541,3.435,19.35,50.6,moderate,sunny,uber,9,0,5295.0
Berger,Ajah,6.642,3.343,6.4683,3.6015,42.54,82.5,low,sunny,taxi,13,0,7499.0
Victoria Island,Surulere,6.4281,3.4219,6.4969,3.355,13.86,44.5,heavy,sunny,taxi,18,0,5517.0
Surulere,Victoria Island,6.4969,3.355,6.4281,3.4219,14.91,33.3,moderate,sunny,danfo,17,0,1719.0
Lekki,Ikoyi,6.4474,3.5562,6.4541,3.435,18.12,34.1,low,sunny,bolt,7,0,5054.0
Ikeja,CMS (Marina),6.6018,3.3515,6.4549,3.3886,20.3,44.0,moderate,rainy,bolt,0,0,7084.0
Victoria Island,CMS (Marina),6.4281,3.4219,6.4549,3.3886,5.51,10.4,low,sunny,brt,11,0,349.0
Yaba,Oshodi,6.5158,3.3892,6.5489,3.3286,10.17,27.0,moderate,cloudy,taxi,2,1,3443.0
Murtala Muhammed Airport,Lekki,6.5774,3.3212,6.4474,3.5562,39.04,92.7,moderate,sunny,brt,12,0,2173.0
Berger,Yaba,6.642,3.343,6.5158,3.3892,18.91,61.6,heavy,rainy,uber,10,1,8173.0
Ikoyi,Murtala Muhammed Airport,6.4541,3.435,6.5774,3.3212,23.19,70.1,heavy,cloudy,danfo,17,0,3164.0
Ojota,Oshodi,6.582,3.388,6.5489,3.3286,10.25,32.1,heavy,sunny,keke,17,1,2577.0
Murtala Muhammed Airport,Ikeja,6.5774,3.3212,6.6018,3.3515,5.67,17.6,heavy,cloudy,danfo,10,0,791.0
Murtala Muhammed Airport,Victoria Island,6.5774,3.3212,6.4281,3.4219,24.64,136.1,gridlock,thunderstorm,taxi,7,0,17309.0
Ajah,Yaba,6.4683,3.6015,6.5158,3.3892,30.55,56.1,low,sunny,taxi,20,1,5941.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,7.2,23.3,heavy,thunderstorm,bolt,16,0,4643.0
Lekki,Surulere,6.4474,3.5562,6.4969,3.355,31.02,104.3,heavy,sunny,brt,7,1,2940.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,6.97,21.8,heavy,rainy,bolt,19,0,3059.0
CMS (Marina),Ikeja,6.4549,3.3886,6.6018,3.3515,20.13,34.5,low,sunny,brt,12,0,989.0
Ojota,Murtala Muhammed Airport,6.582,3.388,6.5774,3.3212,10.57,36.5,heavy,rainy,uber,12,1,5023.0
Murtala Muhammed Airport,Surulere,6.5774,3.3212,6.4969,3.355,11.25,31.5,moderate,rainy,keke,8,1,2735.0
Ikoyi,Murtala Muhammed Airport,6.4541,3.435,6.5774,3.3212,23.23,62.9,moderate,rainy,keke,14,1,3983.0
Ikoyi,Maryland,6.4541,3.435,6.5783,3.3676,19.26,48.0,moderate,rainy,brt,19,0,1242.0
Lekki,Surulere,6.4474,3.5562,6.4969,3.355,28.47,108.1,heavy,thunderstorm,danfo,11,1,4236.0
Ikeja,Berger,6.6018,3.3515,6.642,3.343,6.3,10.6,low,sunny,bolt,17,1,2257.0
Ajah,Victoria Island,6.4683,3.6015,6.4281,3.4219,28.86,196.3,gridlock,sunny,uber,8,1,20010.0
Lekki,Oshodi,6.4474,3.5562,6.5489,3.3286,38.92,121.3,heavy,sunny,keke,4,0,7354.0
Lekki,Yaba,6.4474,3.5562,6.5158,3.3892,25.85,72.4,moderate,rainy,keke,9,0,4272.0
Victoria Island,Ikoyi,6.4281,3.4219,6.4541,3.435,4.53,9.3,low,cloudy,taxi,11,0,1285.0
Oshodi,Ajah,6.5489,3.3286,6.4683,3.6015,40.12,71.3,low,cloudy,keke,6,0,5419.0
Ajah,Lekki,6.4683,3.6015,6.4474,3.5562,7.91,12.2,low,sunny,danfo,12,0,683.0
Oshodi,Ikoyi,6.5489,3.3286,6.4541,3.435,18.21,47.2,moderate,cloudy,keke,20,1,2921.0
Surulere,Maryland,6.4969,3.355,6.5783,3.3676,10.89,39.5,heavy,cloudy,keke,18,0,2825.0
Victoria Island,Murtala Muhammed Airport,6.4281,3.4219,6.5774,3.3212,27.52,67.5,moderate,rainy,bolt,9,0,7611.0
Oshodi,Victoria Island,6.5489,3.3286,6.4281,3.4219,19.83,33.0,low,sunny,taxi,9,0,3722.0
Yaba,Berger,6.5158,3.3892,6.642,3.343,20.72,58.4,moderate,rainy,keke,8,1,4611.0
CMS (Marina),Surulere,6.4549,3.3886,6.4969,3.355,6.95,11.6,low,cloudy,bolt,8,1,2480.0
Murtala Muhammed Airport,Ikoyi,6.5774,3.3212,6.4541,3.435,24.55,73.7,heavy,cloudy,uber,14,0,8387.0
Maryland,Ikoyi,6.5783,3.3676,6.4541,3.435,19.56,49.4,moderate,sunny,bolt,7,1,6258.0
Ikoyi,Lekki,6.4541,3.435,6.4474,3.5562,16.45,44.8,moderate,cloudy,brt,8,0,1307.0
CMS (Marina),Maryland,6.4549,3.3886,6.5783,3.3676,19.27,32.8,low,sunny,uber,6,1,5679.0
Ikoyi,Lekki,6.4541,3.435,6.4474,3.5562,19.33,49.5,moderate,sunny,uber,22,0,6413.0
Victoria Island,Maryland,6.4281,3.4219,6.5783,3.3676,22.52,41.6,low,sunny,danfo,5,1,1621.0
Victoria Island,Murtala Muhammed Airport,6.4281,3.4219,6.5774,3.3212,28.39,94.4,heavy,rainy,taxi,10,0,9958.0
Berger,Yaba,6.642,3.343,6.5158,3.3892,19.59,44.6,moderate,rainy,keke,19,0,3305.0
Ikeja,Lekki,6.6018,3.3515,6.4474,3.5562,39.48,90.2,moderate,rainy,uber,17,0,13361.0
Lekki,Ikeja,6.4474,3.5562,6.6018,3.3515,36.29,66.4,low,sunny,bolt,0,0,7925.0
Murtala Muhammed Airport,Yaba,6.5774,3.3212,6.5158,3.3892,13.3,37.7,moderate,sunny,uber,6,0,5039.0
Murtala Muhammed Airport,Ikeja,6.5774,3.3212,6.6018,3.3515,5.89,13.9,moderate,sunny,keke,10,0,979.0
Oshodi,Ikeja,6.5489,3.3286,6.6018,3.3515,7.47,18.6,moderate,sunny,uber,14,1,2608.0
Ikoyi,Berger,6.4541,3.435,6.642,3.343,31.46,69.1,moderate,sunny,keke,19,0,4401.0
CMS (Marina),Ajah,6.4549,3.3886,6.4683,3.6015,29.17,168.1,gridlock,rainy,brt,13,0,3404.0
Surulere,Oshodi,6.4969,3.355,6.5489,3.3286,8.53,21.0,moderate,cloudy,keke,17,1,1906.0
Yaba,Surulere,6.5158,3.3892,6.4969,3.355,5.15,9.3,low,rainy,keke,12,0,850.0
Ikeja,Ajah,6.6018,3.3515,6.4683,3.6015,36.47,104.6,moderate,cloudy,taxi,22,0,10411.0
Ajah,Ikeja,6.4683,3.6015,6.6018,3.3515,41.43,75.6,low,cloudy,taxi,15,1,9857.0
Ojota,Victoria Island,6.582,3.388,6.4281,3.4219,24.57,66.4,moderate,rainy,uber,13,1,8536.0
Ajah,Maryland,6.4683,3.6015,6.5783,3.3676,41.15,282.3,gridlock,rainy,danfo,3,1,8687.0
Ikeja,Lekki,6.6018,3.3515,6.4474,3.5562,37.78,260.5,gridlock,cloudy,taxi,11,1,21353.0
Lekki,Yaba,6.4474,3.5562,6.5158,3.3892,24.74,78.1,heavy,cloudy,keke,5,0,4940.0
Surulere,Oshodi,6.4969,3.355,6.5489,3.3286,7.58,30.1,heavy,thunderstorm,uber,20,0,4471.0
Berger,Ikoyi,6.642,3.343,6.4541,3.435,31.66,74.3,moderate,rainy,keke,6,0,6330.0
Lekki,Ojota,6.4474,3.5562,6.582,3.388,33.86,94.3,moderate,cloudy,brt,9,0,2066.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,33.54,128.6,heavy,cloudy,brt,14,0,2785.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,34.16,88.1,moderate,sunny,danfo,10,0,3076.0
Ojota,Lekki,6.582,3.388,6.4474,3.5562,27.51,63.9,moderate,sunny,taxi,10,0,6207.0
CMS (Marina),Oshodi,6.4549,3.3886,6.5489,3.3286,17.33,48.9,moderate,cloudy,bolt,7,0,6107.0
Ikeja,Oshodi,6.6018,3.3515,6.5489,3.3286,9.2,60.9,gridlock,rainy,danfo,6,0,2277.0
Victoria Island,Yaba,6.4281,3.4219,6.5158,3.3892,14.52,36.5,moderate,sunny,keke,19,1,2194.0
Murtala Muhammed Airport,Berger,6.5774,3.3212,6.642,3.343,8.86,14.7,low,cloudy,uber,23,0,2715.0
CMS (Marina),Lekki,6.4549,3.3886,6.4474,3.5562,22.23,60.7,moderate,sunny,brt,16,0,1695.0
Oshodi,Victoria Island,6.5489,3.3286,6.4281,3.4219,23.47,151.9,gridlock,sunny,taxi,17,0,14597.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,35.54,95.2,moderate,sunny,bolt,6,0,10392.0
Berger,Murtala Muhammed Airport,6.642,3.343,6.5774,3.3212,9.7,25.4,moderate,rainy,keke,8,1,2164.0
Oshodi,CMS (Marina),6.5489,3.3286,6.4549,3.3886,15.44,60.5,heavy,sunny,uber,6,0,7513.0
Ojota,Yaba,6.582,3.388,6.5158,3.3892,10.07,20.5,low,sunny,danfo,17,0,1010.0
Lekki,Surulere,6.4474,3.5562,6.4969,3.355,31.03,86.1,moderate,sunny,keke,16,0,5341.0
Oshodi,Ajah,6.5489,3.3286,6.4683,3.6015,37.82,94.1,moderate,sunny,keke,7,0,6263.0
Murtala Muhammed Airport,Victoria Island,6.5774,3.3212,6.4281,3.4219,24.38,46.1,low,rainy,uber,2,0,6543.0
Yaba,CMS (Marina),6.5158,3.3892,6.4549,3.3886,8.38,53.9,gridlock,sunny,keke,9,1,2737.0
Surulere,CMS (Marina),6.4969,3.355,6.4549,3.3886,7.48,42.1,gridlock,sunny,uber,18,0,5261.0
